source,freq,year,quarter,type_id,is_provisional,n,value_kchf,value_chf,geo_id
T_05_05_1_1_01,Q,2014,1,house_existing,0,86.0,251415.0,251415000.0,0000
T_05_05_1_1_01,Q,2014,1,house_new,0,20.0,29016.0,29016000.0,0000
T_05_05_1_1_01,Q,2014,1,land,0,43.0,19821.0,19821000.0,0000
T_05_05_1_1_01,Q,2014,1,mixed,0,10.0,71618.0,71618000.0,0000
T_05_05_1_1_01,Q,2014,1,multi_unit,0,20.0,100295.0,100295000.0,0000
T_05_05_1_1_01,Q,2014,1,ppe,0,228.0,311896.0,311896000.0,0000
T_05_05_1_1_01,Q,2014,1,ppe_existing,0,116.0,175408.0,175408000.0,0000
T_05_05_1_1_01,Q,2014,1,ppe_new,0,112.0,136488.0,136488000.0,0000
T_05_05_1_1_01,Q,2014,2,commercial,0,11.0,80982.0,80982000.0,0000
T_05_05_1_1_01,Q,2014,2,house,0,131.0,384829.0,384829000.0,0000
T_05_05_1_1_01,Q,2014,2,house_existing,0,105.0,323307.0,323307000.0,0000
T_05_05_1_1_01,Q,2014,2,house_new,0,26.0,61522.0,61522000.0,0000
T_05_05_1_1_01,Q,2014,2,land,0,47.0,22413.0,22413000.0,0000
T_05_05_1_1_01,Q,2014,2,mixed,0,8.0,47053.0,47053000.0,0000
T_05_05_1_1_01,Q,2014,2,multi_unit,0,14.0,81994.0,81994000.0,0000
T_05_05_1_1_01,Q,2014,2,ppe,0,219.0,256559.0,256559000.0,0000
T_05_05_1_1_01,Q,2014,2,ppe_existing,0,146.0,173523.0,173523000.0,0000
T_05_05_1_1_01,Q,2014,2,ppe_new,0,73.0,83036.0,83036000.0,0000
T_05_05_1_1_01,Q,2014,3,commercial,0,6.0,85206.0,85206000.0,0000
T_05_05_1_1_01,Q,2014,3,house,0,146.0,321193.0,321193000.0,0000
T_05_05_1_1_01,Q,2014,3,house_existing,0,116.0,268966.0,268966000.0,0000
T_05_05_1_1_01,Q,2014,3,house_new,0,30.0,52227.0,52227000.0,0000
T_05_05_1_1_01,Q,2014,3,land,0,31.0,102443.0,102443000.0,0000
